kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,geimpftVollst,geimpftUnvollst,geimpftKA,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,geimpftVollstKumuliert,geimpftUnvollstKumuliert,geimpftKAKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,geimpftVollst7Tage,geimpftUnvollst7Tage,geimpftKA7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert,anteilITSBetten
5,2021-10-20,20.10.2021,2383,1391,895,16,6,5,0,144,1783,723,1455,205,,988235,992644,70082,18124,18228,18214,27,947300,27200,25335,138965,823935,10730,12033,81,55,65,703,3050,6826,854,5512.990661,5537.586810,0.209820,390.961068,101.106966,1.836308,1.843084,59.858627,67.127573,3.921772,0.000000,0.457076,0.605778,985849,55.724867,18104,92,92,12,2,8,2,45,33,7,42826,43011,14601,3979,7562,3480,37819,34505,10904,1000,940,220,0.0606230180936393
5,2021-10-21,21.10.2021,2359,1266,898,20,11,12,0,127,1480,712,1443,204,,990594,994808,70209,18144,18239,18226,27,948800,27900,26047,140408,824139,11500,12731,93,57,62,720,3348,7208,944,5526.150633,5549.658951,0.508690,391.669554,101.218539,1.833419,1.839906,64.154166,71.021451,4.016609,0.000000,0.447726,0.539130,988232,59.858627,18120,111,82,15,3,9,0,37,41,9,42937,43093,14616,3982,7571,3480,37856,34546,10913,1100,980,220,0.0623832648487112
5,2021-10-22,22.10.2021,2325,1325,891,14,11,12,0,132,1520,712,1407,206,,992919,997024,70341,18158,18250,18238,27,950300,28500,26759,141815,824345,12335,13404,99,60,62,772,3628,7659,1048,5539.120932,5562.021180,0.516129,392.405932,101.296639,1.830447,1.836806,68.812317,74.775865,4.306697,0.000000,0.447628,0.502635,990592,64.159745,18139,99,90,18,3,4,4,34,39,16,43036,43183,14634,3985,7575,3484,37890,34585,10929,1200,1000,220,0.0589887640449438
5,2021-10-23,23.10.2021,2055,1220,865,8,4,8,0,97,1160,593,1305,157,,994974,999109,70438,18166,18254,18246,27,951500,29500,27352,143120,824502,13067,14015,100,56,65,794,3837,8126,1104,5550.585002,5573.652609,0.389294,392.947058,101.341268,1.827028,1.833817,72.895869,78.184404,4.429427,0.000000,0.399572,0.497436,992915,68.812317,18153,82,62,18,0,4,2,27,37,10,43118,43245,14652,3985,7579,3486,37917,34622,10939,1200,1000,230,0.0585797702015445
5,2021-10-24,24.10.2021,595,1317,242,8,5,3,0,49,960,184,367,44,,995569,1000668,70487,18174,18259,18249,27,952400,30100,27536,143487,824546,13208,14357,95,53,64,791,3925,8175,1108,5553.904283,5582.349683,0.504202,393.220411,101.385897,1.824681,1.833022,73.682455,80.092293,4.412691,0.000000,0.369158,0.484555,994968,72.884712,18160,56,56,5,1,4,2,30,22,4,43174,43301,14657,3986,7583,3488,37947,34644,10943,1200,1100,230,0.0617331288343558
5,2021-10-25,25.10.2021,1782,1798,733,16,5,5,1,118,1395,476,1191,115,,997351,1003199,70605,18190,18264,18254,28,953800,31200,28012,144678,824661,13876,15115,94,48,55,790,4079,8667,1130,5563.845390,5596.469178,0.280584,393.878688,101.475155,1.820576,1.830248,77.408975,84.320889,4.407112,0.000000,0.317565,0.396368,995564,73.676876,18168,113,68,13,3,6,4,49,45,4,43287,43369,14670,3989,7589,3492,37996,34689,10947,1300,1100,230,0.0601574212893553
5,2021-10-26,26.10.2021,3839,1450,1603,13,4,6,1,131,1595,993,2524,322,,1001190,1006252,70736,18203,18268,18260,29,955400,32600,29005,147202,824983,15338,15894,95,46,51,798,4393,9692,1253,5585.261724,5613.500714,0.156291,394.609488,101.547677,1.815450,1.823830,85.564922,88.666637,4.451741,0.000000,0.289417,0.332507,997344,77.386661,18183,117,84,17,1,7,1,61,46,11,43404,43453,14687,3990,7596,3493,38057,34735,10958,1400,1100,240,0.0604077052552833
5,2021-10-27,27.10.2021,4473,1310,2149,9,4,8,0,189,1615,998,3159,316,,1005663,1009711,70925,18212,18272,18268,29,957000,34500,30003,150361,825299,17428,17067,88,44,54,843,4668,11396,1364,5610.214905,5632.797172,0.178851,395.663848,101.597885,1.809627,1.816513,97.224244,95.210362,4.702779,0.000000,0.257807,0.309846,1001178,85.514714,18196,147,110,24,1,5,0,60,63,14,43551,43563,14711,3991,7601,3493,38117,34798,10972,1400,1200,250,0.0647712295236302
5,2021-10-28,28.10.2021,3717,953,1745,8,3,6,0,129,1409,875,2565,277,,1009380,1012409,71054,18220,18275,18274,29,958500,35700,30878,152926,825576,18786,17601,76,36,48,845,4831,12518,1437,5630.950648,5647.848297,0.161421,396.383490,101.642514,1.805101,1.810418,104.800015,98.189346,4.713937,0.000000,0.204534,0.255509,1005651,97.174037,18205,111,111,23,0,6,1,40,45,11,43662,43674,14734,3991,7607,3494,38157,34843,10983,1500,1200,260,0.0634173880316146
5,2021-10-29,29.10.2021,3250,787,1711,16,5,5,0,102,1425,707,2320,223,,1012630,1014907,71156,18236,18280,18279,29,959900,36800,31585,155246,825799,19711,17883,78,30,41,815,4826,13431,1454,5649.081173,5661.783698,0.153846,396.952510,101.731772,1.801150,1.805102,109.960241,99.762518,4.546578,0.000000,0.167757,0.208006,1009365,104.727493,18212,100,84,14,4,8,1,58,41,6,43762,43758,14748,3995,7615,3495,38215,34884,10989,1600,1300,260,0.0649079521730879
