kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,geimpftVollst,geimpftUnvollst,geimpftKA,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,geimpftVollstKumuliert,geimpftUnvollstKumuliert,geimpftKAKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,geimpftVollst7Tage,geimpftUnvollst7Tage,geimpftKA7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5334,2021-10-21,21.10.2021,90,59,14,1,0,0,0,6,38,28,40,22,,31262,31456,2195,617,618,618,0,30200,680,795,3385,27082,345,420,4,1,2,25,98,169,78,5616.287990,5651.140522,0.000000,394.336643,110.845425,1.964649,1.976841,61.980019,75.453936,4.491306,0.000000,0.238095,0.579710,31172,52.278799,616,4,2,0,1,0,0,1,1,0,1436,1457,481,142,253,122,1268,1188,355,30,16,4
5334,2021-10-22,22.10.2021,77,47,14,0,0,0,0,0,40,32,36,9,,31339,31517,2195,617,618,618,0,30200,700,827,3421,27091,383,423,4,1,1,18,123,186,74,5630.121211,5662.099308,0.000000,394.336643,110.845425,1.960847,1.971984,68.806804,75.992893,3.233740,0.000000,0.236407,0.261097,31262,61.980019,617,2,0,0,0,0,0,1,0,1,1438,1457,481,142,253,122,1269,1188,356,30,16,3
5334,2021-10-23,23.10.2021,42,46,4,0,0,0,0,1,28,15,19,8,,31381,31567,2196,617,618,618,0,30200,730,842,3440,27099,395,434,4,1,1,18,132,186,77,5637.666605,5671.081920,0.000000,394.516295,110.845425,1.957741,1.969345,70.962631,77.969067,3.233740,0.000000,0.230415,0.253165,31339,68.806804,617,1,0,1,0,0,0,1,2,0,1439,1457,482,142,253,122,1270,1190,356,30,14,4
5334,2021-10-24,24.10.2021,7,74,1,0,0,0,0,2,21,0,6,1,,31388,31642,2198,617,618,618,0,30200,780,842,3446,27100,390,476,4,1,1,19,128,185,77,5638.924171,5684.555837,0.000000,394.875600,110.845425,1.953100,1.968905,70.064369,85.514461,3.413392,0.000000,0.210084,0.256410,31381,70.962631,617,3,4,0,0,0,0,1,0,0,1442,1461,482,142,253,122,1271,1190,356,30,18,4
5334,2021-10-25,25.10.2021,80,103,13,0,0,0,0,5,32,31,39,10,,31468,31758,2203,617,618,618,0,30300,860,873,3485,27110,433,510,3,0,0,21,149,214,70,5653.296349,5705.395495,0.000000,395.773861,110.845425,1.945966,1.963900,77.789415,91.622637,3.772697,0.000000,0.000000,0.000000,31388,70.064369,617,5,3,0,0,0,0,0,0,0,1447,1464,482,142,253,122,1271,1190,356,30,20,4
5334,2021-10-26,26.10.2021,148,64,22,0,0,0,0,0,43,47,83,18,,31616,31844,2203,617,618,618,0,30300,910,920,3568,27128,508,533,2,0,0,18,170,257,81,5679.884879,5720.845587,0.000000,395.773861,110.845425,1.940711,1.954706,91.263332,95.754638,3.233740,0.000000,0.000000,0.000000,31468,77.789415,617,4,0,1,0,0,0,1,1,0,1451,1464,483,142,253,122,1272,1191,356,40,20,5
5334,2021-10-27,27.10.2021,122,72,29,0,0,0,0,3,44,46,65,11,,31738,31945,2206,617,618,618,0,30400,960,966,3633,27139,566,562,1,0,0,17,199,288,79,5701.802451,5738.990462,0.000000,396.312818,110.845425,1.934575,1.947193,101.683162,100.964553,3.054088,0.000000,0.000000,0.000000,31616,91.263332,617,2,0,0,0,0,0,3,1,0,1453,1464,483,142,253,122,1275,1192,356,40,19,5
5334,2021-10-28,28.10.2021,142,59,30,0,0,0,0,4,37,49,77,16,,31880,32034,2210,617,618,618,0,30400,1000,1015,3710,27155,618,578,0,0,0,15,220,325,73,5727.313067,5754.979511,0.000000,397.031427,110.845425,1.929200,1.938519,111.025078,103.838988,2.694783,0.000000,0.000000,0.000000,31738,101.683162,617,4,5,0,0,0,0,0,1,1,1457,1469,483,142,253,122,1275,1193,357,40,20,4
5334,2021-10-29,29.10.2021,93,46,24,1,0,0,0,1,59,29,55,9,,31973,32104,2211,618,618,618,0,30500,1000,1044,3765,27164,634,587,1,0,0,16,217,344,73,5744.020725,5767.555167,0.000000,397.211079,111.025078,1.924994,1.932881,113.899513,105.455859,2.874436,0.000000,0.000000,0.000000,31880,111.025078,617,4,2,0,0,1,0,3,1,0,1461,1471,483,142,254,122,1278,1194,357,40,20,4
5334,2021-10-30,30.10.2021,77,40,15,0,0,0,0,0,39,26,43,8,,32050,32159,2211,618,618,618,0,30500,1000,1070,3808,27172,669,592,1,0,0,15,228,368,73,5757.853946,5777.436039,0.000000,397.211079,111.025078,1.921702,1.928237,120.187341,106.354120,2.694783,0.000000,0.000000,0.000000,31973,113.899513,618,5,1,0,0,0,0,0,1,0,1466,1472,483,142,254,122,1278,1195,357,50,20,4
