kreis,datumstd,datum,anzahlM,anzahlE,anzahlEM,verstorben,verstorbenE,verstorbenM,verstorbenMOhneSterbedatum,hospitalisiert,genesen,r,anzahlMKumuliert,anzahlEKumuliert,hospitalisiertKumuliert,verstorbenKumuliert,verstorbenEKumuliert,verstorbenMKumuliert,verstorbenMOhneSterbedatumKumuliert,genesenKumuliert,krankKumuliert,anzahlM7Tage,anzahlE7Tage,verstorben7Tage,verstorbenE7Tage,verstorbenM7Tage,hospitalisiert7Tage,rateMKumuliert,rateEKumuliert,anteilVerstorbenM,rateHospitalisiertKumuliert,rateVerstorbenKumuliert,anteilVerstorbenEKumuliert,anteilVerstorbenMKumuliert,rateM7Tage,rateE7Tage,rateHospitalisiert7Tage,rateVerstorben7Tage,anteilVerstorbenE7Tage,anteilVerstorbenM7Tage,anzahlMKumuliertVortag,rateM7TageVortag,verstorbenKumuliertVortag,anzahlEA70,anzahlEA80,anzahlEA90,verstorbenA70,verstorbenA80,verstorbenA90,genesenA70,genesenA80,genesenA90,anzahlEA70Kumuliert,anzahlEA80Kumuliert,anzahlEA90Kumuliert,verstorbenA70Kumuliert,verstorbenA80Kumuliert,verstorbenA90Kumuliert,genesenA70Kumuliert,genesenA80Kumuliert,genesenA90Kumuliert,krankA70Kumuliert,krankA80Kumuliert,krankA90Kumuliert
5911,2021-09-21,21.09.2021,19,5,11,0,0,0,0,1,23,,19127,19142,1399,254,257,257,3,17600,1300,201,210,2,1,1,4,5248.125,5252.240,0.000,383.862,69.693,1.343,1.344,55.151,57.620,1.098,0.000,0.476,0.498,19102,68.596,254,0,0,0,0,0,0,1,0,0,703,602,181,51,87,52,629,499,124,20,16,5
5911,2021-09-22,22.09.2021,29,3,18,0,0,0,0,1,32,,19156,19163,1400,254,257,257,3,17600,1300,197,193,0,1,1,5,5256.082,5258.002,0.000,384.136,69.693,1.341,1.342,54.053,52.956,1.372,0.000,0.518,0.508,19121,55.151,254,0,1,0,0,0,0,0,0,0,703,603,181,51,87,52,629,499,124,20,17,5
5911,2021-09-23,23.09.2021,11,2,11,0,0,0,0,1,33,,19167,19176,1401,254,257,257,3,17700,1300,158,157,0,0,0,5,5259.100,5261.569,0.000,384.411,69.693,1.340,1.341,43.353,43.078,1.372,0.000,0.000,0.000,19150,54.053,254,0,1,0,0,0,0,0,0,0,703,604,181,51,87,52,629,499,124,20,18,5
5911,2021-09-24,24.09.2021,18,3,16,2,0,0,0,0,39,,19185,19195,1401,256,257,257,3,17700,1200,134,129,2,0,0,5,5264.039,5266.783,0.000,384.411,70.242,1.339,1.340,36.767,35.395,1.372,0.000,0.000,0.000,19162,43.627,254,0,0,0,0,1,0,0,0,0,703,604,181,51,88,52,629,499,124,20,17,5
5911,2021-09-25,25.09.2021,26,0,24,0,0,0,0,0,21,,19211,19219,1401,256,257,257,3,17700,1200,140,129,2,0,0,5,5271.173,5273.368,0.000,384.411,70.242,1.337,1.338,38.414,35.395,1.372,0.000,0.000,0.000,19181,37.316,256,0,0,0,0,0,0,0,0,0,703,604,181,51,88,52,629,499,124,20,17,5
5911,2021-09-26,26.09.2021,8,3,4,0,0,0,0,0,11,,19219,19226,1401,256,257,257,3,17700,1200,143,130,2,0,0,5,5273.368,5275.289,0.000,384.411,70.242,1.337,1.337,39.237,35.670,1.372,0.000,0.000,0.000,19207,38.962,256,0,0,0,0,0,0,0,0,0,703,604,181,51,88,52,629,499,124,20,17,5
5911,2021-09-27,27.09.2021,21,2,17,0,1,1,0,2,2,,19240,19245,1403,256,258,258,3,17700,1200,132,119,2,1,1,5,5279.130,5280.502,4.762,384.959,70.242,1.341,1.341,36.219,32.652,1.372,0.000,0.840,0.758,19216,40.060,256,0,0,1,0,0,0,0,1,0,703,604,182,51,88,52,629,500,124,20,16,6
5911,2021-09-28,28.09.2021,41,1,38,1,0,0,0,2,96,,19281,19284,1405,257,258,258,3,17800,1200,154,142,3,1,1,6,5290.380,5291.203,0.000,385.508,70.516,1.338,1.338,42.255,38.962,1.646,0.000,0.704,0.649,19237,37.042,256,1,3,0,0,0,1,2,0,0,704,607,182,51,88,53,631,500,124,20,19,5
5911,2021-09-29,29.09.2021,25,1,23,0,0,0,0,0,119,,19306,19308,1405,257,258,258,3,18000,1100,150,145,3,1,1,5,5297.239,5297.788,0.000,385.508,70.516,1.336,1.336,41.157,39.786,1.372,0.000,0.690,0.667,19279,43.353,257,2,1,1,0,0,0,1,1,0,706,608,183,51,88,53,632,501,124,20,19,6
5911,2021-09-30,30.09.2021,30,2,28,1,0,0,0,0,89,,19336,19338,1405,258,258,258,3,18000,1000,169,162,4,1,1,4,5305.471,5306.019,0.000,385.508,70.791,1.334,1.334,46.371,44.450,1.098,0.000,0.617,0.592,19304,42.255,257,0,0,0,0,0,0,2,1,0,706,608,183,51,88,53,634,502,124,20,18,6
5911,2021-10-01,01.10.2021,34,0,33,0,0,0,0,2,94,,19370,19371,1407,258,258,258,3,18100,970,185,176,2,1,1,6,5314.800,5315.074,0.000,386.057,70.791,1.332,1.332,50.761,48.291,1.646,0.000,0.568,0.541,19334,47.194,258,1,3,0,0,0,0,3,1,0,707,611,183,51,88,53,637,503,124,19,20,6
5911,2021-10-02,02.10.2021,24,1,24,0,0,0,0,1,57,,19394,19396,1408,258,258,258,3,18200,940,183,177,2,1,1,7,5321.385,5321.934,0.000,386.331,70.791,1.330,1.330,50.212,48.566,1.921,0.000,0.565,0.546,19368,51.310,258,2,0,0,0,0,0,1,0,0,709,611,183,51,88,53,638,503,124,20,20,6
5911,2021-10-03,03.10.2021,2,0,2,0,0,0,0,0,19,,19396,19398,1408,258,258,258,3,18200,920,177,172,2,1,1,7,5321.934,5322.482,0.000,386.331,70.791,1.330,1.330,48.566,47.194,1.921,0.000,0.581,0.565,19391,50.486,258,0,0,0,0,0,0,1,2,1,709,611,183,51,88,53,639,505,125,19,18,5
5911,2021-10-04,04.10.2021,13,0,11,0,0,0,0,0,60,,19409,19409,1408,258,258,258,3,18300,870,169,164,2,0,0,5,5325.501,5325.501,0.000,386.331,70.791,1.329,1.329,46.371,44.999,1.372,0.000,0.000,0.000,19393,48.566,258,0,0,0,0,0,0,0,1,0,709,611,183,51,88,53,639,506,125,19,17,5
5911,2021-10-05,05.10.2021,7,0,7,0,0,0,0,0,147,,19416,19416,1408,258,258,258,3,18400,730,135,132,1,0,0,3,5327.421,5327.421,0.000,386.331,70.791,1.329,1.329,37.042,36.219,0.823,0.000,0.000,0.000,19397,43.901,258,0,0,1,0,0,0,1,2,1,709,611,184,51,88,53,640,508,126,18,15,5
