"Altersgruppe","Gemeldete Fälle weiblich","Gemeldete Fälle männlich","Hospitalisierungen","Verstorben"
"00-04","859","855","47","1"
"05-09","1.153","1.209","25","0"
"10-14","1.291","1.499","27","0"
"15-19","1.640","1.692","47","0"
"20-24","1.945","2.031","97","0"
"25-29","1.779","1.797","109","0"
"30-34","1.702","1.869","132","2"
"35-39","1.636","1.673","154","2"
"40-44","1.678","1.518","169","1"
"45-49","1.525","1.413","166","3"
"50-54","1.629","1.712","228","15"
"55-59","1.511","1.563","271","23"
"60-64","939","1.088","256","25"
"65-69","536","618","241","43"
"70-74","520","524","298","75"
"75-79","541","494","368","123"
"80-84","831","541","518","227"
"85-89","661","326","347","199"
"90+","703","200","245","216"

"Datenstand 28.08.2021 18:52:37"
