"Kreis","Kürzel","Meldungen pro 100.000 Einwohner","Gemeldete Fälle","","Hospitalisierungen","","Verstorben",""
"Pinneberg","PI","912,88","2.870","+78","262","+1","57","+1"
"Stormarn","OD","820,74","1.996","+43","111","+1","60",""
"Segeberg","SE","660,07","1.822","+25","124","+1","37",""
"Kiel","KI","615,23","1.523","+47","163","+3","19","+1"
"Lübeck","HL","648,26","1.408","","56","","7",""
"Herzogtum Lauenburg","RZ","618,97","1.221","+40","80","","24",""
"Rendsburg-Eckernförde","RD","402,90","1.099","+30","104","+1","17",""
"Nordfriesland","NF","430,80","713","+3","53","","4",""
"Dithmarschen","HEI","522,48","696","+12","75","+5","14",""
"Ostholstein","OH","328,55","659","+3","47","","3",""
"Schleswig-Flensburg","SL","272,47","545","+8","39","","7",""
"Neumünster","NMS","642,87","511","+1","34","","6",""
"Steinburg","IZ","366,21","481","+9","44","","4",""
"Plön","PLO","297,71","383","+11","59","+1","8",""
"Flensburg","FL","380,99","341","+4","18","","4",""
"-"
"Schleswig-Holstein","SH","561,60","16.268","+314","1.269","+13","271","+2"

"Datenstand 08.12.2020 21:01:52"
