"Datum","Gemeldete Fälle","Hospitalisierungen","Verstorben"
"01.01.2021","137","15","7"
"02.01.2021","264","38","26"
"03.01.2021","201","39","12"
"04.01.2021","263","34","17"
"05.01.2021","539","62","13"
"06.01.2021","530","47","25"
"07.01.2021","476","33","13"
"08.01.2021","522","45","19"
"09.01.2021","406","40","15"
"10.01.2021","140","18","15"
"11.01.2021","258","46","15"
"12.01.2021","405","49","19"
"13.01.2021","485","51","20"
"14.01.2021","419","46","14"
"15.01.2021","408","63","21"
"16.01.2021","351","38","22"
"17.01.2021","200","26","15"
"18.01.2021","236","34","14"
"19.01.2021","462","54","28"
"20.01.2021","481","52","23"
"21.01.2021","498","54","24"
"22.01.2021","462","43","29"
"23.01.2021","439","43","12"
"24.01.2021","156","31","10"
"25.01.2021","161","37","18"
"26.01.2021","541","49","23"
"27.01.2021","462","58","25"
"28.01.2021","382","49","16"
"29.01.2021","346","51","32"
"30.01.2021","261","25","6"
"31.01.2021","178","21","7"
"01.02.2021","130","25","7"
"02.02.2021","357","39","11"
"03.02.2021","338","31","12"
"04.02.2021","323","49","12"
"05.02.2021","259","30","6"
"06.02.2021","267","23","8"
"07.02.2021","106","14","2"
"08.02.2021","137","34","11"
"09.02.2021","312","23","9"
"10.02.2021","334","27","17"
"11.02.2021","355","29","7"
"12.02.2021","224","21","4"
"13.02.2021","190","10","3"
"14.02.2021","116","12","7"
"15.02.2021","140","11","2"
"16.02.2021","251","16","5"
"17.02.2021","245","20","6"
"18.02.2021","254","30","11"
"19.02.2021","267","25","7"
"20.02.2021","200","22","2"
"21.02.2021","113","12","2"
"22.02.2021","103","11","7"
"23.02.2021","282","28","5"
"24.02.2021","252","25","7"
"25.02.2021","249","16","5"
"26.02.2021","266","25","6"
"27.02.2021","198","21","1"
"28.02.2021","90","11","2"
"01.03.2021","102","15","5"
"02.03.2021","222","22","6"
"03.03.2021","255","20","7"
"04.03.2021","229","15","3"
"05.03.2021","217","21","1"
"06.03.2021","213","22","2"
"07.03.2021","71","3","1"
"08.03.2021","114","14","3"
"09.03.2021","254","17","2"
"10.03.2021","271","20","2"
"11.03.2021","268","20","2"
"12.03.2021","236","17","2"
"13.03.2021","272","30","5"
"14.03.2021","78","6","1"
"15.03.2021","128","16","1"
"16.03.2021","313","28","6"
"17.03.2021","327","22","4"
"18.03.2021","290","19","1"
"19.03.2021","281","22","3"
"20.03.2021","298","15","2"
"21.03.2021","95","7","0"
"22.03.2021","156","13","0"
"23.03.2021","296","23","4"
"24.03.2021","328","19","1"
"25.03.2021","370","25","5"
"26.03.2021","380","19","3"
"27.03.2021","309","17","1"
"28.03.2021","158","13","1"
"29.03.2021","201","17","2"
"30.03.2021","357","20","1"
"31.03.2021","394","30","6"
"01.04.2021","358","21","4"
"02.04.2021","322","16","2"
"03.04.2021","202","23","4"
"04.04.2021","170","11","3"
"05.04.2021","205","14","3"
"06.04.2021","202","26","2"
"07.04.2021","412","32","3"
"08.04.2021","398","22","0"
"09.04.2021","356","21","1"
"10.04.2021","362","16","1"
"11.04.2021","170","12","2"
"12.04.2021","203","17","0"
